"","site","species","Girth (cm)"
"722",10,"Dolichandrone atrovirens",17
"723",10,"Gimnosporia emarginata",16
"724",10,"Gimnosporia emarginata",12
"725",10,"Gimnosporia emarginata",11
"726",10,"Acacia chundra",26
"727",10,"Acacia chundra",29
"728",10,"Acacia chundra",33
"729",10,"Dolichandrone atrovirens",21
"730",10,"Dolichandrone atrovirens",16
"731",10,"Dolichandrone atrovirens",12
"732",10,"Dolichandrone atrovirens",14
"733",10,"Dolichandrone atrovirens",17
"734",10,"Dolichandrone atrovirens",19
"735",10,"Dolichandrone atrovirens",21
"736",10,"Acacia chundra",22
"737",10,"Dolichandrone atrovirens",19
"738",10,"Dolichandrone atrovirens",21
"739",1,"Cassia montana",2
"740",1,"Cassia montana",2.5
"741",1,"Cassia montana",2
"742",1,"Cassia montana",2.5
"743",1,"Cassia montana",3
"744",1,"Cassia montana",3
"745",1,"Cassia montana",3.5
"746",1,"Cassia montana",1.5
"747",1,"Albizia amara",22.5
"748",1,"Albizia amara",16.5
"749",1,"Tectonia grandis",21.5
"750",1,"Wrightia tinctoria",25
"751",1,"Wrightia tinctoria",15
"752",1,"Wrightia tinctoria",16
"753",1,"Pterocarpus santalilnus",48
"754",1,"Tectonia grandis",20.5
"755",1,"Tectonia grandis",20
"756",1,"Wrightia tinctoria",33
"757",1,"Albizia amara",18
"758",1,"Albizia amara",24
"759",1,"Tectonia grandis",19
"760",2,"Albizia amara",5.5
"761",2,"Albizia amara",4.5
"762",2,"Albizia amara",4
"763",2,"Albizia amara",3.5
"764",2,"Albizia amara",2
"765",2,"Cassia auriculata",2
"766",2,"Cassia auriculata",1.5
"767",2,"Cassia auriculata",3
"768",2,"Cassia montana",2.5
"769",2,"Cassia montana",3
"770",2,"Cassia montana",2
"771",2,"Cassia montana",1.5
"772",2,"Dalbergia paniculata",68
"773",2,"Dalbergia paniculata",31.5
"774",2,"Wrightia tinctoria",25.5
"775",2,"Wrightia tinctoria",20
"776",2,"Wrightia tinctoria",21
"777",2,"Wrightia tinctoria",21
"778",2,"Wrightia tinctoria",29
"779",2,"Wrightia tinctoria",23.5
"780",2,"Wrightia tinctoria",21
"781",2,"Premna tomentosa",16
"782",2,"Premna tomentosa",13
"783",2,"Premna tomentosa",13
"784",2,"Wrightia tinctoria",40
"785",2,"Wrightia tinctoria",35
"786",2,"Wrightia tinctoria",16
"787",2,"Wrightia tinctoria",29
"788",2,"Wrightia tinctoria",23.5
"789",2,"Wrightia tinctoria",26
"790",2,"Wrightia tinctoria",22
"791",2,"Wrightia tinctoria",20
"792",2,"Wrightia tinctoria",18
"793",2,"Wrightia tinctoria",19
"794",2,"Wrightia tinctoria",16
"795",2,"Wrightia tinctoria",25.5
"796",3,"Cassia montana",4
"797",3,"Cassia montana",2.5
"798",3,"Cassia montana",3
"799",3,"Cassia montana",2.5
"800",3,"Cassia montana",2
"801",3,"Cassia montana",1.5
"802",3,"Cassia fistula",3.5
"803",3,"Cassia fistula",4
"804",3,"Cassia fistula",2
"805",3,"Cassia fistula",3.5
"806",3,"Albizia amara",4
"807",3,"Cassia montana",3
"808",3,"Cassia montana",3
"809",3,"Cassia montana",2.5
"810",3,"Cassia montana",3
"811",3,"Cassia montana",4
"812",3,"Cassia montana",2
"813",3,"Cassia montana",3
"814",3,"Albizia amara",4
"815",3,"Albizia amara",3
"816",3,"Albizia amara",2
"817",3,"Wrightia tinctoria",30
"818",3,"Wrightia tinctoria",15
"819",3,"Wrightia tinctoria",24
"820",3,"Wrightia tinctoria",25
"821",3,"Wrightia tinctoria",17
"822",3,"Wrightia tinctoria",31.5
"823",3,"Wrightia tinctoria",33
"824",3,"Wrightia tinctoria",16
"825",3,"Wrightia tinctoria",17
"826",3,"Wrightia tinctoria",34
"827",3,"Wrightia tinctoria",24
"828",3,"Wrightia tinctoria",26
"829",3,"Wrightia tinctoria",19
"830",4,"Alangium salvifolium",14
"831",4,"Albizia amara",79
"832",4,"Albizia amara",20
"833",4,"Wrightia tinctoria",23
"834",4,"Wrightia tinctoria",26
"835",4,"Wrightia tinctoria",32
"836",4,"Wrightia tinctoria",28
"837",4,"Albizia amara",48
"838",4,"Albizia amara",28
"839",4,"Albizia amara",16
"840",4,"Albizia amara",31
"841",4,"Albizia amara",41
"842",4,"Albizia amara",22
"843",4,"Albizia amara",30
"844",4,"Holoptelia intergrifolia",15
"845",4,"Holoptelia intergrifolia",15
"846",5,"Albizia amara",4
"847",5,"Albizia amara",3
"848",5,"Albizia amara",2
"849",5,"Albizia amara",2.5
"850",5,"Ziziphus mauritiana",4
"851",5,"Wrightia tinctoria",13.3
"852",5,"Wrightia tinctoria",15
"853",5,"Wrightia tinctoria",20
"854",5,"Wrightia tinctoria",22
"855",5,"Dolichandrone atrovirens",24
"856",6,"Albizia amara",3
"857",6,"Albizia amara",2
"858",6,"Albizia amara",3.5
"859",6,"Albizia amara",1.5
"860",6,"Albizia amara",2
"861",6,"Albizia amara",3
"862",6,"Albizia amara",2
"863",6,"Albizia amara",1.5
"864",6,"Albizia amara",2.5
"865",6,"Wrightia tinctoria",29
"866",6,"Wrightia tinctoria",25
"867",6,"Wrightia tinctoria",20
"868",6,"Wrightia tinctoria",30
"869",6,"Wrightia tinctoria",21
"870",6,"Wrightia tinctoria",22
"871",6,"Wrightia tinctoria",24
"872",6,"Wrightia tinctoria",34
"873",6,"Wrightia tinctoria",75
"874",6,"Wrightia tinctoria",16
"875",6,"Wrightia tinctoria",15
"876",6,"Wrightia tinctoria",16
"877",6,"Wrightia tinctoria",15
"878",6,"Cassia fistula",24
"879",6,"Wrightia tinctoria",21
"880",7,"Cassia montana",4
"881",7,"Cassia montana",3
"882",7,"Cassia montana",3.5
"883",7,"Cassia montana",4
"884",7,"Cassia montana",4
"885",7,"Cassia montana",3
"886",7,"Cassia montana",2.5
"887",7,"Wrightia tinctoria",27
"888",7,"Wrightia tinctoria",16
"889",7,"Wrightia tinctoria",38
"890",7,"Wrightia tinctoria",31
"891",7,"Wrightia tinctoria",23
"892",7,"Wrightia tinctoria",38
"893",7,"Wrightia tinctoria",21
"894",7,"Wrightia tinctoria",54
"895",7,"Wrightia tinctoria",21
"896",7,"Albizia lebbeck",53
"897",7,"Wrightia tinctoria",31
"898",7,"Wrightia tinctoria",23
"899",7,"Wrightia tinctoria",19
"900",7,"Albizia lebbeck",20
"901",7,"Wrightia tinctoria",26
"902",7,"Wrightia tinctoria",19
"903",7,"Wrightia tinctoria",62
"904",7,"Wrightia tinctoria",25
"905",8,"Alangium salvifolium",11
"906",8,"Alangium salvifolium",7
"907",8,"Alangium salvifolium",2
"908",8,"Alangium salvifolium",1.5
"909",8,"Alangium salvifolium",8
"910",8,"Alangium salvifolium",10
"911",8,"Albizia amara",21
"912",8,"Albizia amara",20
"913",8,"Albizia amara",17
"914",8,"Albizia amara",23
"915",8,"Albizia amara",25
"916",8,"Albizia amara",38
"917",8,"Alangium salvifolium",37
"918",8,"Wrightia tinctoria",32
"919",8,"Premna tomentosa",28.5
"920",8,"Albizia amara",56
"921",8,"Wrightia tinctoria",37
"922",8,"Wrightia tinctoria",25
"923",8,"Wrightia tinctoria",17
"924",8,"Wrightia tinctoria",17
"925",8,"Wrightia tinctoria",38
"926",8,"Wrightia tinctoria",26
"927",8,"Wrightia tinctoria",14.5
"928",8,"Wrightia tinctoria",47
"929",8,"Wrightia tinctoria",20
"930",8,"Wrightia tinctoria",30
"931",8,"Wrightia tinctoria",33
"932",8,"Wrightia tinctoria",24
"933",8,"Wrightia tinctoria",30
"934",8,"Wrightia tinctoria",19
"935",8,"Wrightia tinctoria",27
"936",8,"Wrightia tinctoria",24
"937",8,"Wrightia tinctoria",25
"938",8,"Wrightia tinctoria",33
"939",8,"Wrightia tinctoria",21
"940",8,"Wrightia tinctoria",41
"941",8,"Wrightia tinctoria",25
"942",8,"Albizia amara",30
"943",8,"Wrightia tinctoria",22
"944",8,"Azadirachata indica",57
"945",8,"Alangium salvifolium",20
"946",8,"Wrightia tinctoria",21
"947",9,"Cassia montana",3
"948",9,"Cassia montana",3
"949",9,"Cassia montana",3
"950",9,"Cassia montana",3.5
"951",9,"Cassia montana",3
"952",9,"Cassia montana",3
"953",9,"Cassia montana",2
"954",9,"Cassia montana",2
"955",9,"Cassia montana",1.5
"956",9,"Wrightia tinctoria",28
"957",9,"Wrightia tinctoria",19
"958",9,"Wrightia tinctoria",18
"959",9,"Wrightia tinctoria",33
"960",9,"Wrightia tinctoria",20.5
"961",9,"Wrightia tinctoria",27
"962",9,"Azadirachata indica",49
"963",9,"Wrightia tinctoria",36
"964",9,"Wrightia tinctoria",20
"965",10,"Cassia montana",2
"966",10,"Cassia montana",3
"967",10,"Cassia montana",2.5
"968",10,"Cassia montana",2.5
"969",10,"Cassia montana",2
"970",10,"Albizia amara",2.5
"971",10,"Albizia amara",3
"972",10,"Wrightia tinctoria",41
"973",10,"Wrightia tinctoria",32
"974",10,"Wrightia tinctoria",32
"975",10,"Wrightia tinctoria",24
"976",10,"Wrightia tinctoria",36
"977",10,"Albizia amara",15
"978",10,"Azadirachata indica",33
"979",1,"Cassia montana",2.5
"980",1,"Cassia montana",3.3
"981",1,"Cassia montana",2
"982",1,"Cassia montana",2.5
"983",1,"Cassia montana",3
"984",1,"Cassia montana",2.2
"985",1,"Dodonaea viscosa",3.5
"986",1,"Dodonaea viscosa",4
"987",1,"Pongamia pinnata",4
"988",1,"Cassia montana",5
"989",1,"Cassia montana",4.5
"990",1,"Azadirachata indica",3
"991",1,"Cassia montana",2
"992",1,"Pongamia pinnata",15
"993",1,"Pongamia pinnata",11
"994",1,"Pongamia pinnata",12
"995",1,"Pongamia pinnata",18
"996",1,"Pongamia pinnata",11.5
"997",1,"Pongamia pinnata",12
"998",1,"Pongamia pinnata",11
"999",1,"Azadirachata indica",29
"1000",1,"Azadirachata indica",19
"1001",1,"Pongamia pinnata",14
"1002",1,"Pongamia pinnata",16
"1003",1,"Pongamia pinnata",16
"1004",1,"Maytenus emarginata",11
"1005",1,"Eucalyptus globulus",38
"1006",1,"Eucalyptus globulus",13
"1007",1,"Eucalyptus globulus",19
"1008",2,"Cassia montana",2.5
"1009",2,"Cassia montana",3
"1010",2,"Cassia montana",3
"1011",2,"Cassia montana",4
"1012",2,"Cassia montana",3.5
"1013",2,"Cassia montana",3
"1014",2,"Cassia montana",3.5
"1015",2,"Azadirachata indica",2
"1016",2,"Dolichandrone atrovirens",4
"1017",2,"Dolichandrone atrovirens",6
"1018",2,"Dolichandrone atrovirens",3
"1019",2,"Dolichandrone atrovirens",3.5
"1020",2,"Dolichandrone atrovirens",4
"1021",2,"Dolichandrone atrovirens",3.2
"1022",2,"Azadirachata indica",14
"1023",2,"Azadirachata indica",15
"1024",2,"Azadirachata indica",11
"1025",2,"Azadirachata indica",26
"1026",2,"Azadirachata indica",47
"1027",2,"Azadirachata indica",42
"1028",2,"Albizia amara",26
"1029",2,"Albizia amara",14
"1030",2,"Azadirachata indica",45
"1031",2,"Gyrocarpus americanus",42
"1032",2,"Gyrocarpus americanus",45
"1033",2,"Gyrocarpus americanus",26
"1034",2,"Gyrocarpus americanus",24
"1035",2,"Gyrocarpus americanus",32
"1036",2,"Azadirachata indica",43
"1037",2,"Azadirachata indica",33
"1038",2,"Azadirachata indica",37
"1039",3,"Pongamia pinnata",4
"1040",3,"Pongamia pinnata",3.5
"1041",3,"Pongamia pinnata",4
"1042",3,"Pongamia pinnata",3.5
"1043",3,"Pongamia pinnata",5
"1044",3,"Pongamia pinnata",4
"1045",3,"Pongamia pinnata",5.5
"1046",3,"Pongamia pinnata",4.2
"1047",3,"Pongamia pinnata",5
"1048",3,"Acacia leucophloea",5.5
"1049",3,"Acacia leucophloea",6
"1050",3,"Acacia leucophloea",4
"1051",3,"Cassia montana",4
"1052",3,"Cassia montana",3
"1053",3,"Pheonix sylvestris",53
"1054",3,"Azadirachata indica",52
"1055",3,"Pongamia pinnata",11
"1056",3,"Pongamia pinnata",12
"1057",3,"Pongamia pinnata",13
"1058",3,"Pongamia pinnata",10.5
"1059",3,"Pongamia pinnata",11.5
"1060",3,"Pongamia pinnata",11.5
"1061",3,"Pongamia pinnata",12
"1062",3,"Pongamia pinnata",13
"1063",3,"Pongamia pinnata",11
"1064",3,"Pongamia pinnata",14
"1065",3,"Azadirachata indica",32
"1066",4,"Gimnosporia emarginata",3
"1067",4,"Maytenus emarginata",3
"1068",4,"Flacortia sepiaria",3
"1069",4,"Flacortia sepiaria",4
"1070",4,"Flacortia sepiaria",5
"1071",4,"Flacortia sepiaria",2.5
"1072",4,"Azadirachata indica",42
"1073",4,"Azadirachata indica",38
"1074",4,"Azadirachata indica",36
"1075",4,"Erythroxylum monogynum",11
"1076",4,"Erythroxylum monogynum",11.5
"1077",4,"Erythroxylum monogynum",10.5
"1078",4,"Azadirachata indica",58
"1079",4,"Azadirachata indica",44
"1080",4,"Azadirachata indica",56
"1081",4,"Tectonia grandis",25
"1082",4,"Azadirachata indica",41
"1083",4,"Azadirachata indica",46
"1084",4,"Syzygium jambola",18
"1085",4,"Azadirachata indica",32
"1086",5,"Cassia montana",3
"1087",5,"Cassia montana",3.5
"1088",5,"Cassia montana",2.2
"1089",5,"Cassia montana",2.3
"1090",5,"Pongamia pinnata",4
"1091",5,"Pongamia pinnata",4.5
"1092",5,"Pongamia pinnata",3.8
"1093",5,"Pongamia pinnata",3.5
"1094",5,"Cassia montana",2.1
"1095",5,"Cassia montana",2.5
"1096",5,"Cassia montana",2.8
"1097",5,"Cassia montana",2.5
"1098",5,"Dalbergia paniculata",54
"1099",5,"Tectonia grandis",25
"1100",5,"Tectonia grandis",46
"1101",5,"Tectonia grandis",43
"1102",5,"Dolichandrone atrovirens",40
"1103",5,"Dolichandrone atrovirens",19
"1104",5,"Dolichandrone atrovirens",34
"1105",5,"Tectonia grandis",34
"1106",5,"Tectonia grandis",20
"1107",5,"Azadirachata indica",45
"1108",5,"Azadirachata indica",56
"1109",6,"Cassia montana",4
"1110",6,"Cassia montana",3.5
"1111",6,"Flacortia sepiaria",3.5
"1112",6,"Flacortia sepiaria",3
"1113",6,"Flacortia sepiaria",4
"1114",6,"Flacortia sepiaria",2
"1115",6,"Flacortia sepiaria",5
"1116",6,"Erythroxylum monogynum",4
"1117",6,"Erythroxylum monogynum",6
"1118",6,"Erythroxylum monogynum",5
"1119",6,"Erythroxylum monogynum",3.5
"1120",6,"Erythroxylum monogynum",2
"1121",6,"Cassia montana",4
"1122",6,"Flacortia sepiaria",3.5
"1123",6,"Azadirachata indica",50
"1124",6,"Azadirachata indica",26
"1125",6,"Azadirachata indica",17
"1126",6,"Azadirachata indica",28
"1127",6,"Azadirachata indica",27
"1128",6,"Azadirachata indica",13
"1129",6,"Tectonia grandis",32
"1130",6,"Azadirachata indica",39
"1131",6,"Azadirachata indica",23
"1132",6,"Azadirachata indica",26
"1133",6,"Azadirachata indica",37
"1134",6,"Azadirachata indica",34
"1135",6,"Azadirachata indica",36
"1136",6,"Azadirachata indica",25
"1137",6,"Acacia chundra",32
"1138",6,"Acacia chundra",30
"1139",6,"Azadirachata indica",30
"1140",6,"Azadirachata indica",13
"1141",6,"Azadirachata indica",22
"1142",6,"Azadirachata indica",14
"1143",7,"Flacortia sepiaria",3.5
"1144",7,"Flacortia sepiaria",4
"1145",7,"Flacortia sepiaria",7
"1146",7,"Flacortia sepiaria",8
"1147",7,"Cassia montana",9
"1148",7,"Cassia montana",8
"1149",7,"Cassia montana",8
"1150",7,"Cassia montana",8.5
"1151",7,"Cassia montana",7
"1152",7,"Cassia montana",5
"1153",7,"Cassia montana",5
"1154",7,"Cassia montana",8
"1155",7,"Cassia montana",6
"1156",7,"Cassia montana",7
"1157",7,"Cassia montana",5
"1158",7,"Dodonaea viscosa",4
"1159",7,"Dodonaea viscosa",3
"1160",7,"Dodonaea viscosa",3
"1161",7,"Azadirachata indica",23
"1162",7,"Azadirachata indica",29
"1163",7,"Azadirachata indica",42
"1164",7,"Azadirachata indica",22
"1165",7,"Wrightia tinctoria",24
"1166",7,"Tectonia grandis",32
"1167",7,"Syzygium jambola",20
"1168",7,"Syzygium jambola",21
"1169",7,"Azadirachata indica",38
"1170",7,"Azadirachata indica",46
"1171",7,"Azadirachata indica",45
"1172",8,"Dolichandrone atrovirens",2.5
"1173",8,"Dolichandrone atrovirens",2
"1174",8,"Cassia montana",1.5
"1175",8,"Cassia montana",2
"1176",8,"Cassia montana",2.5
"1177",8,"Cassia montana",2.2
"1178",8,"Cassia montana",2.8
"1179",8,"Azadirachata indica",37
"1180",8,"Azadirachata indica",41
"1181",8,"Azadirachata indica",31
"1182",8,"Azadirachata indica",43
"1183",8,"Azadirachata indica",36
"1184",8,"Azadirachata indica",37
"1185",8,"Azadirachata indica",32
"1186",8,"Dolichandrone atrovirens",16
"1187",8,"Dolichandrone atrovirens",20
"1188",9,"Cassia montana",6.5
"1189",9,"Cassia montana",4.5
"1190",9,"Cassia montana",5
"1191",9,"Cassia montana",2.5
"1192",9,"Cassia montana",2.5
"1193",9,"Cassia montana",3
"1194",9,"Erythroxylum monogynum",2
"1195",9,"Erythroxylum monogynum",3
"1196",9,"Erythroxylum monogynum",4
"1197",9,"Erythroxylum monogynum",2.5
"1198",9,"Dolichandrone atrovirens",42
"1199",9,"Dolichandrone atrovirens",26
"1200",9,"Dolichandrone atrovirens",25
"1201",9,"Dolichandrone atrovirens",31
"1202",9,"Dolichandrone atrovirens",28
"1203",9,"Dolichandrone atrovirens",36
"1204",9,"Dolichandrone atrovirens",34
"1205",9,"Dolichandrone atrovirens",32
"1206",9,"Azadirachata indica",34
"1207",9,"Dolichandrone atrovirens",34
"1208",9,"Dolichandrone atrovirens",22
"1209",9,"Dolichandrone atrovirens",35
"1210",9,"Dolichandrone atrovirens",37
"1211",9,"Dolichandrone atrovirens",23
"1212",9,"Dolichandrone atrovirens",29
"1213",9,"Dolichandrone atrovirens",35
"1214",9,"Wrightia tinctoria",34
"1215",9,"Wrightia tinctoria",38
"1216",10,"Cassia montana",2.3
"1217",10,"Cassia montana",2.1
"1218",10,"Cassia montana",2
"1219",10,"Cassia montana",3
"1220",10,"Cassia montana",4
"1221",10,"Cassia montana",4.1
"1222",10,"Cassia montana",3.2
"1223",10,"Cassia montana",3.8
"1224",10,"Cassia montana",3.2
"1225",10,"Cassia montana",3
"1226",10,"Tectonia grandis",33
"1227",10,"Tectonia grandis",25
"1228",10,"Azadirachata indica",38
"1229",10,"Tectonia grandis",22
"1230",10,"Dalbergia paniculata",27
"1231",10,"Dalbergia paniculata",29
"1232",10,"Dalbergia paniculata",17
"1233",10,"Dalbergia paniculata",26
"1234",10,"Azadirachata indica",45
"1235",10,"Azadirachata indica",46
"1236",1,"Wrightia tinctoria",9
"1237",1,"Wrightia tinctoria",2
"1238",1,"Wrightia tinctoria",8
"1239",1,"Wrightia tinctoria",20
"1240",1,"Wrightia tinctoria",20
"1241",1,"Wrightia tinctoria",18.5
"1242",1,"Wrightia tinctoria",18
"1243",1,"Wrightia tinctoria",27
"1244",1,"Wrightia tinctoria",22
"1245",1,"Wrightia tinctoria",34
"1246",1,"Wrightia tinctoria",51
"1247",1,"Wrightia tinctoria",19
"1248",1,"Wrightia tinctoria",27
"1249",1,"Wrightia tinctoria",16
"1250",1,"Wrightia tinctoria",27
"1251",1,"Wrightia tinctoria",21
"1252",1,"Wrightia tinctoria",16
"1253",1,"Wrightia tinctoria",16
"1254",1,"Wrightia tinctoria",26
"1255",1,"Wrightia tinctoria",22
"1256",1,"Ziziphus mauritiana",17
"1257",2,"Plectronia parviflora",2
"1258",2,"Plectronia parviflora",3
"1259",2,"Wrightia tinctoria",18
"1260",2,"Wrightia tinctoria",16
"1261",2,"Wrightia tinctoria",28
"1262",2,"Wrightia tinctoria",22
"1263",2,"Wrightia tinctoria",16
"1264",2,"Wrightia tinctoria",18
"1265",2,"Wrightia tinctoria",15
"1266",2,"Wrightia tinctoria",19
"1267",2,"Wrightia tinctoria",20
"1268",2,"Wrightia tinctoria",25
"1269",2,"Wrightia tinctoria",19
"1270",2,"Wrightia tinctoria",18
"1271",2,"Wrightia tinctoria",19
"1272",2,"Wrightia tinctoria",15
"1273",2,"Wrightia tinctoria",16
"1274",2,"Wrightia tinctoria",21
"1275",2,"Wrightia tinctoria",17
"1276",2,"Wrightia tinctoria",27
"1277",2,"Wrightia tinctoria",23
"1278",2,"Wrightia tinctoria",16
"1279",3,"Ziziphus mauritiana",7
"1280",3,"Wrightia tinctoria",22
"1281",3,"Wrightia tinctoria",21
"1282",3,"Wrightia tinctoria",27
"1283",3,"Wrightia tinctoria",28
"1284",3,"Wrightia tinctoria",23
"1285",3,"Wrightia tinctoria",23
"1286",3,"Wrightia tinctoria",19
"1287",3,"Wrightia tinctoria",16
"1288",3,"Wrightia tinctoria",16
"1289",3,"Wrightia tinctoria",20
"1290",3,"Wrightia tinctoria",16.5
"1291",3,"Wrightia tinctoria",20
"1292",3,"Wrightia tinctoria",15
"1293",3,"Wrightia tinctoria",20
"1294",3,"Wrightia tinctoria",15
"1295",3,"Wrightia tinctoria",23
"1296",4,"Cassia montana",6
"1297",4,"Cassia montana",6
"1298",4,"Cassia montana",4
"1299",4,"Cassia montana",3
"1300",4,"Cassia montana",3.5
"1301",4,"Cassia montana",3
"1302",4,"Cassia montana",2
"1303",4,"Wrightia tinctoria",16
"1304",4,"Wrightia tinctoria",29
"1305",4,"Wrightia tinctoria",31
"1306",4,"Wrightia tinctoria",36
"1307",4,"Wrightia tinctoria",35
"1308",4,"Wrightia tinctoria",31
"1309",4,"Wrightia tinctoria",32
"1310",4,"Wrightia tinctoria",20
"1311",4,"Wrightia tinctoria",30
"1312",4,"Wrightia tinctoria",24
"1313",4,"Wrightia tinctoria",25
"1314",4,"Wrightia tinctoria",16
"1315",4,"Wrightia tinctoria",17
"1316",5,"Cassia montana",2
"1317",5,"Cassia montana",3
"1318",5,"Cassia montana",2.5
"1319",5,"Cassia montana",3
"1320",5,"Wrightia tinctoria",18
"1321",5,"Wrightia tinctoria",41
"1322",5,"Wrightia tinctoria",19
"1323",5,"Wrightia tinctoria",17
"1324",5,"Wrightia tinctoria",29
"1325",5,"Wrightia tinctoria",38
"1326",5,"Wrightia tinctoria",31
"1327",5,"Wrightia tinctoria",23
"1328",5,"Wrightia tinctoria",29
"1329",5,"Wrightia tinctoria",21
"1330",5,"Wrightia tinctoria",25
"1331",5,"Wrightia tinctoria",23
"1332",5,"Wrightia tinctoria",19
"1333",5,"Wrightia tinctoria",36
"1334",5,"Wrightia tinctoria",15
"1335",5,"Wrightia tinctoria",36
"1336",5,"Wrightia tinctoria",53
"1337",6,"Cassia montana",4
"1338",6,"Cassia montana",3
"1339",6,"Cassia montana",2
"1340",6,"Cassia montana",2
"1341",6,"Cassia montana",2
"1342",6,"Acacia chundra",25
"1343",6,"Acacia chundra",29
"1344",6,"Acacia chundra",26
"1345",6,"Acacia chundra",26
"1346",6,"Acacia chundra",16
"1347",6,"Acacia chundra",16
"1348",6,"Wrightia tinctoria",48
"1349",6,"Wrightia tinctoria",34
"1350",7,"Cassia montana",4
"1351",7,"Cassia montana",4
"1352",7,"Cassia montana",3
"1353",7,"Cassia montana",2.5
"1354",7,"Cassia montana",3
"1355",7,"Cassia montana",2.5
"1356",7,"Cassia montana",3
"1357",7,"Butea monosperma",21
"1358",7,"Butea monosperma",39
"1359",7,"Butea monosperma",28
"1360",7,"Butea monosperma",22
"1361",7,"Butea monosperma",33
"1362",7,"Butea monosperma",20
"1363",7,"Butea monosperma",22
"1364",7,"Wrightia tinctoria",40
"1365",7,"Wrightia tinctoria",43
"1366",7,"Wrightia tinctoria",32
"1367",7,"Wrightia tinctoria",29
"1368",7,"Wrightia tinctoria",26
"1369",8,"Cassia montana",5
"1370",8,"Cassia montana",3
"1371",8,"Cassia montana",3
"1372",8,"Cassia montana",2
"1373",8,"Cassia montana",2
"1374",8,"Acacia chundra",20
"1375",8,"Acacia chundra",21
"1376",8,"Acacia chundra",28
"1377",8,"Acacia chundra",28.5
"1378",8,"Acacia chundra",22
"1379",8,"Acacia chundra",22.5
"1380",8,"Acacia chundra",23.5
"1381",8,"Acacia chundra",21
"1382",8,"Acacia chundra",30
"1383",8,"Acacia chundra",23
"1384",8,"Acacia chundra",15
"1385",8,"Acacia chundra",16
"1386",8,"Acacia chundra",16
"1387",8,"Acacia chundra",16
"1388",8,"Acacia chundra",16
"1389",9,"Cassia montana",4
"1390",9,"Cassia montana",4
"1391",9,"Cassia montana",4
"1392",9,"Cassia montana",3
"1393",9,"Acacia chundra",30
"1394",9,"Acacia chundra",16
"1395",9,"Acacia chundra",17
"1396",9,"Acacia chundra",19
"1397",9,"Acacia chundra",23
"1398",9,"Acacia chundra",17
"1399",9,"Wrightia tinctoria",21
"1400",9,"Wrightia tinctoria",18
"1401",9,"Acacia chundra",21
"1402",9,"Acacia chundra",17
"1403",9,"Acacia chundra",15
"1404",9,"Acacia chundra",20
"1405",10,"Cassia montana",3.5
"1406",10,"Cassia montana",3
"1407",10,"Cassia montana",2
"1408",10,"Cassia montana",4
"1409",10,"Cassia montana",3
"1410",10,"Cassia montana",3
"1411",10,"Cassia montana",2.5
"1412",10,"Cassia montana",3
"1413",10,"Wrightia tinctoria",40
"1414",10,"Wrightia tinctoria",30
"1415",10,"Wrightia tinctoria",15
"1416",10,"Wrightia tinctoria",17
"1417",10,"Wrightia tinctoria",32
"1418",10,"Wrightia tinctoria",17
"1419",10,"Wrightia tinctoria",26
"1420",10,"Wrightia tinctoria",29
"1421",10,"Wrightia tinctoria",43
"1422",10,"Wrightia tinctoria",36
"1423",10,"Wrightia tinctoria",43
"1424",10,"Wrightia tinctoria",39
"1425",10,"Wrightia tinctoria",35
"1426",10,"Annona squamosa",15
"1427",1,"Diospyros melanoxylon",11
"1428",1,"Dodonaea viscosa",4
"1429",1,"Diospyros melanoxylon",10
"1430",1,"Morinda tinctoria",17.5
"1431",1,"Morinda tinctoria",12.8
"1432",1,"Morinda tinctoria",14.1
"1433",1,"Soumida febrifuga",21
"1434",1,"Soumida febrifuga",22.5
"1435",1,"Acacia chundra",23.5
"1436",1,"Soumida febrifuga",13
"1437",1,"Soumida febrifuga",10.4
"1438",2,"Cassia montana",3.8
"1439",2,"Cassia montana",4.2
"1440",2,"Cassia montana",3
"1441",2,"Cassia montana",4
"1442",2,"Cassia montana",3.6
"1443",2,"Diospyros montana",5
"1444",2,"Ziziphus mauritiana",8.9
"1445",2,"Ziziphus mauritiana",7
"1446",2,"Cassia montana",8
"1447",2,"Cassia montana",6.5
"1448",2,"Cassia montana",9.5
"1449",2,"Cassia montana",4.6
"1450",2,"Cassia montana",6
"1451",2,"Cassia montana",5.6
"1452",2,"Cassia montana",6
"1453",2,"Cassia montana",5.6
"1454",2,"Cassia montana",4
"1455",2,"Cassia montana",3.5
"1456",2,"Cassia fistula",20
"1457",2,"Cassia fistula",21
"1458",2,"Cassia fistula",40
"1459",2,"Cassia fistula",45
"1460",2,"Boswelia serrata",32
"1461",2,"Boswelia serrata",17
"1462",2,"Boswelia serrata",31
"1463",2,"Boswelia serrata",40.3
"1464",2,"Boswelia serrata",40.5
"1465",3,"Cassia montana",5
"1466",3,"Cassia montana",4
"1467",3,"Cassia montana",3
"1468",3,"Cassia montana",6
"1469",3,"Cassia montana",3.5
"1470",3,"Cassia montana",5.5
"1471",3,"Cassia montana",3
"1472",3,"Cassia montana",8
"1473",3,"Cassia montana",4
"1474",3,"Randia longispina",5
"1475",3,"Boswelia serrata",3.5
"1476",3,"Buchnania latifolia",4
"1477",3,"Boswelia serrata",34
"1478",3,"Boswelia serrata",24
"1479",3,"Boswelia serrata",33
"1480",3,"Boswelia serrata",38.1
